paroquia_id,nome,orago,arciprestado,diocese,url_ficha,site,facebook,instagram,site_confidence,facebook_confidence,instagram_confidence
2088,Alcáçovas,São Salvador,Reguengos de Monsaraz,Évora,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=2088,,,,,,
1667,Alcântara,São Pedro,Lisboa III,Lisboa,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=1667,http://www.paroquiadealcantara.pt,,,1.0,,
2133,Alcórrego,Santo António,Elvas,Évora,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=2133,,,,,,
17351,Aldeia da Mata,São Martinho,Ponte de Sor,Portalegre-Castelo Branco,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=17351,,,,,,
3486,Aldeia da Ponte,Santa Maria Madalena,Sabugal - Almeida,Guarda,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=3486,,,,,,
3487,Aldeia da Ribeira,São Pedro,Sabugal - Almeida,Guarda,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=3487,,,,,,
3841,Aldeia das Dez,São Bartolomeu,Nordeste,Coimbra,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=3841,,,,,,
4092,Aldeia de Joanes,São Pedro,Fundão - Penamacor,Guarda,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=4092,,,,,,
4197,Aldeia de João Pires,Santa Maria Madalena,Fundão - Penamacor,Guarda,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=4197,,,,,,
1617,Aldeia de Nacomba,São Pedro,Moimenta da Beira - Sernancelhe - Tabuaço,Lamego,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=1617,,,,,,
1527,Aldeia de Paio Pires,Nossa Senhora da Anunciada,Seixal,Setúbal,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=1527,,,,,,
17380,Aldeia de Santa Margarida,Santa Margarida,Castelo Branco,Portalegre-Castelo Branco,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=17380,,,,,,
3488,Aldeia de Santo António,Santo António,Sabugal - Almeida,Guarda,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=3488,,,,,,
4093,Aldeia de São Francisco de Assis,São Francisco de Assis,Fundão - Penamacor,Guarda,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=4093,,,,,,
3489,Aldeia do Bispo,São Miguel,Sabugal - Almeida,Guarda,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=3489,,,,,,
4138,Aldeia do Bispo,Divino Salvador,Guarda - Manteigas,Guarda,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=4138,,,,,,
4196,Aldeia do Bispo,São Bartolomeu,Fundão - Penamacor,Guarda,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=4196,,,,,,
17462,Aldeia do Mato,Santa Maria Madalena,Abrantes,Portalegre-Castelo Branco,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=17462,,,,,,
4180,Aldeia do Souto,São João Baptista,Covilhã - Belmonte,Guarda,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=4180,,,,,,
2689,Aldeia dos Fernandes,São José,Almodôvar,Beja,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=2689,,,,,,
1722,Aldeia Galega da Merceana,Nossa Senhora dos Prazeres,Alenquer,Lisboa,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=1722,,,,,,
1723,Aldeia Gavinha,Santa Maria Madalena,Alenquer,Lisboa,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=1723,,,,,,
2282,Aldeia Nova,Imaculada Conceição,Trancoso - Celorico da Beira,Guarda,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=2282,,,,,,
3995,Aldeia Nova,Santa Maria Madalena,Sabugal - Almeida,Guarda,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=3995,,,,,,
4094,Aldeia Nova do Cabo,Nossa Senhora ao Pé da Cruz,Fundão - Penamacor,Guarda,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=4094,,,,,,
2134,Aldeia Velha,Santa Margarida,Elvas,Évora,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=2134,,,,,,
3490,Aldeia Velha,São João Degolado,Sabugal - Almeida,Guarda,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=3490,,,,,,
4139,Aldeia Viçosa,Santa Maria,Guarda - Manteigas,Guarda,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=4139,,,,,,
2313,Aldeias,Nossa Senhora do Loureiro,Armamar - Tarouca,Lamego,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=2313,,,,,,
4115,Aldeias,São Cosme,Seia - Gouveia,Guarda,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=4115,,,,,,
1320,Aldoar,São Martinho,Porto - Poente,Porto,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=1320,,,,,,
16513,Aldreu,São Tiago,Barcelos,Braga,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=16513,https://arquidiocese-braga.pt/local/aldreu-sao-tiago,,,0.9,,
16658,Aldão,São Mamede,Guimarães e Vizela,Braga,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=16658,https://arquidiocese-braga.pt/local/aldao-sao-mamede,,,0.9,,
17332,Alegrete,São João Baptista,Portalegre,Portalegre-Castelo Branco,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=17332,,,,,,
1724,Alenquer,Santo Estevão,Alenquer,Lisboa,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=1724,,,,,,
1725,Alenquer (Triana),Nossa Senhora da Assunção,Alenquer,Lisboa,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=1725,,,,,,
3491,Alfaiates,São Tiago,Sabugal - Almeida,Guarda,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=3491,,,,,,
1933,Alfaião,São Martinho,Bragança,Bragança-Miranda,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=1933,,,,,,
1224,Alfarela de Jales,Divino Espírito Santo,Centro II,Vila Real,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=1224,,,,,,
305,Alfarelos,São Sebastião,Baixo Mondego,Coimbra,https://www.anuariocatolicoportugal.net/ficha_paroquia_padre.asp?paroquiaid=305,,,,,,
